seed=0xDADA_2024
case-order=13,14,15,16,17,18,1,2,3,4,5,6,7,8,9,10,11,12
gate=PASS shapes=6 rule-instance-masks=352
case | baseline first use | routed first use | baseline steady | routed steady | baseline churn | routed churn | adapter | formula conversion | extension/mask
16:8:4:0.5:1:16 | 117.328 ms; GC 0.000 ms; 887850 allocs / 45762584 bytes; sample 107.699–147.585 ms; max GC 38.938 ms; n=5 | 6.669 ms; GC 0.000 ms; 87872 allocs / 14696232 bytes; sample 6.459–32.017 ms; max GC 25.123 ms; n=5 | 40.572 ms; GC 0.000 ms; 373584 allocs / 14007552 bytes; sample 39.926–41.972 ms; max GC 0.000 ms; n=5 | 3.220 ms; GC 0.000 ms; 37232 allocs / 7388672 bytes; sample 3.173–3.407 ms; max GC 0.000 ms; n=5 | 107.899 ms; GC 0.000 ms; 887850 allocs / 45762584 bytes; sample 105.613–195.056 ms; max GC 39.774 ms; n=6 | 6.582 ms; GC 0.000 ms; 87872 allocs / 14696232 bytes; sample 6.520–14.011 ms; max GC 7.306 ms; n=6 | 2.102 ms; GC 0.000 ms; 41757 allocs / 6106992 bytes; sample 1.985–10.736 ms; max GC 8.285 ms; n=5 | 0.130 ms; GC 0.000 ms; 2033 allocs / 73360 bytes; sample 0.121–0.329 ms; max GC 0.000 ms; n=5 | 3.501 ms; GC 0.000 ms; 37216 allocs / 7386368 bytes; sample 3.161–11.127 ms; max GC 7.673 ms; n=5
16:6:4:0.0:1:16 | 202.453 ms; GC 0.000 ms; 1413511 allocs / 61246832 bytes; sample 200.336–228.697 ms; max GC 32.122 ms; n=5 | 7.010 ms; GC 0.000 ms; 82860 allocs / 17014736 bytes; sample 6.840–21.844 ms; max GC 14.580 ms; n=5 | 95.201 ms; GC 0.000 ms; 745904 allocs / 30606592 bytes; sample 94.215–130.317 ms; max GC 31.870 ms; n=5 | 8.372 ms; GC 2.965 ms; 59569 allocs / 14488096 bytes; sample 5.325–8.889 ms; max GC 3.542 ms; n=5 | 203.529 ms; GC 0.000 ms; 1413511 allocs / 61246832 bytes; sample 203.035–238.421 ms; max GC 32.102 ms; n=6 | 10.119 ms; GC 3.003 ms; 82860 allocs / 17014736 bytes; sample 6.818–11.346 ms; max GC 3.308 ms; n=6 | 0.852 ms; GC 0.000 ms; 18205 allocs / 2150096 bytes; sample 0.831–4.443 ms; max GC 3.347 ms; n=5 | 0.191 ms; GC 0.000 ms; 2619 allocs / 98368 bytes; sample 0.184–0.221 ms; max GC 0.000 ms; n=5 | 7.769 ms; GC 2.656 ms; 59553 allocs / 14485792 bytes; sample 4.888–9.176 ms; max GC 3.803 ms; n=5
16:6:4:0.5:1:16 | 242.795 ms; GC 44.860 ms; 825803 allocs / 36712448 bytes; sample 128.565–377.691 ms; max GC 44.860 ms; n=5 | 4.037 ms; GC 0.000 ms; 59884 allocs / 9161624 bytes; sample 3.915–13.450 ms; max GC 8.934 ms; n=5 | 426.345 ms; GC 0.000 ms; 367936 allocs / 13372928 bytes; sample 421.703–436.694 ms; max GC 0.000 ms; n=5 | 2.459 ms; GC 0.000 ms; 37008 allocs / 6664448 bytes; sample 2.270–10.633 ms; max GC 7.757 ms; n=5 | 1262.315 ms; GC 0.000 ms; 825803 allocs / 36712448 bytes; sample 1234.612–1442.863 ms; max GC 173.097 ms; n=6 | 4.013 ms; GC 0.000 ms; 59884 allocs / 9161624 bytes; sample 3.922–8.127 ms; max GC 3.900 ms; n=6 | 0.843 ms; GC 0.000 ms; 18205 allocs / 2150096 bytes; sample 0.799–4.956 ms; max GC 3.792 ms; n=5 | 0.119 ms; GC 0.000 ms; 1952 allocs / 69984 bytes; sample 0.114–0.147 ms; max GC 0.000 ms; n=5 | 2.449 ms; GC 0.000 ms; 36992 allocs / 6662144 bytes; sample 2.356–6.454 ms; max GC 3.806 ms; n=5
16:6:4:1.0:1:16 | 867.402 ms; GC 0.000 ms; 550331 allocs / 24642304 bytes; sample 791.616–1145.635 ms; max GC 0.000 ms; n=5 | 2.800 ms; GC 0.000 ms; 51787 allocs / 6315624 bytes; sample 2.736–2.940 ms; max GC 0.000 ms; n=5 | 263.527 ms; GC 0.000 ms; 190528 allocs / 5983232 bytes; sample 226.150–307.897 ms; max GC 0.000 ms; n=5 | 1.443 ms; GC 0.000 ms; 29584 allocs / 3843328 bytes; sample 1.374–8.192 ms; max GC 6.503 ms; n=5 | 789.040 ms; GC 0.000 ms; 550331 allocs / 24642304 bytes; sample 748.923–1024.122 ms; max GC 207.430 ms; n=6 | 2.901 ms; GC 0.000 ms; 51787 allocs / 6315624 bytes; sample 2.730–7.431 ms; max GC 4.465 ms; n=6 | 0.949 ms; GC 0.000 ms; 18205 allocs / 2150096 bytes; sample 0.918–1.057 ms; max GC 0.000 ms; n=5 | 0.072 ms; GC 0.000 ms; 1353 allocs / 47408 bytes; sample 0.070–0.081 ms; max GC 0.000 ms; n=5 | 1.658 ms; GC 0.000 ms; 29568 allocs / 3841024 bytes; sample 1.400–5.610 ms; max GC 3.986 ms; n=5
16:6:4:0.5:0:16 | 109.965 ms; GC 0.000 ms; 877417 allocs / 42243648 bytes; sample 109.296–144.449 ms; max GC 35.636 ms; n=5 | 3.863 ms; GC 0.000 ms; 56512 allocs / 8151072 bytes; sample 3.760–16.396 ms; max GC 12.031 ms; n=5 | 36.272 ms; GC 0.000 ms; 336352 allocs / 12040704 bytes; sample 36.017–36.577 ms; max GC 0.000 ms; n=5 | 2.275 ms; GC 0.000 ms; 33024 allocs / 5619584 bytes; sample 2.046–11.779 ms; max GC 8.408 ms; n=5 | 109.752 ms; GC 0.000 ms; 877417 allocs / 42243648 bytes; sample 109.437–146.191 ms; max GC 35.596 ms; n=6 | 3.657 ms; GC 0.000 ms; 56512 allocs / 8151072 bytes; sample 3.580–9.710 ms; max GC 5.604 ms; n=6 | 0.887 ms; GC 0.000 ms; 18205 allocs / 2150096 bytes; sample 0.856–0.899 ms; max GC 0.000 ms; n=5 | 0.165 ms; GC 0.000 ms; 2499 allocs / 89952 bytes; sample 0.157–0.201 ms; max GC 0.000 ms; n=5 | 2.369 ms; GC 0.000 ms; 33008 allocs / 5617280 bytes; sample 2.267–9.215 ms; max GC 6.222 ms; n=5
16:6:4:0.5:1:16 | 115.293 ms; GC 0.000 ms; 825803 allocs / 36712448 bytes; sample 113.496–117.049 ms; max GC 0.000 ms; n=5 | 4.812 ms; GC 0.000 ms; 59884 allocs / 9161624 bytes; sample 4.190–9.897 ms; max GC 5.288 ms; n=5 | 40.107 ms; GC 0.000 ms; 367936 allocs / 13372928 bytes; sample 39.775–40.351 ms; max GC 0.000 ms; n=5 | 2.820 ms; GC 0.000 ms; 37008 allocs / 6664448 bytes; sample 2.578–7.010 ms; max GC 4.154 ms; n=5 | 113.355 ms; GC 0.000 ms; 825803 allocs / 36712448 bytes; sample 112.336–156.829 ms; max GC 38.703 ms; n=6 | 3.964 ms; GC 0.000 ms; 59884 allocs / 9161624 bytes; sample 3.943–8.222 ms; max GC 3.839 ms; n=6 | 0.843 ms; GC 0.000 ms; 18205 allocs / 2150096 bytes; sample 0.830–0.859 ms; max GC 0.000 ms; n=5 | 0.130 ms; GC 0.000 ms; 1952 allocs / 69984 bytes; sample 0.121–0.166 ms; max GC 0.000 ms; n=5 | 2.481 ms; GC 0.000 ms; 36992 allocs / 6662144 bytes; sample 2.352–6.554 ms; max GC 3.903 ms; n=5
16:6:4:0.5:1:1 | 16.851 ms; GC 0.000 ms; 136718 allocs / 6158464 bytes; sample 16.666–17.552 ms; max GC 0.000 ms; n=5 | 1.356 ms; GC 0.000 ms; 24065 allocs / 3017928 bytes; sample 1.327–1.559 ms; max GC 0.000 ms; n=5 | 5.355 ms; GC 0.000 ms; 46508 allocs / 1654688 bytes; sample 5.125–8.032 ms; max GC 0.000 ms; n=5 | 0.232 ms; GC 0.000 ms; 3193 allocs / 601384 bytes; sample 0.227–0.242 ms; max GC 0.000 ms; n=5 | 17.241 ms; GC 0.000 ms; 136718 allocs / 6158464 bytes; sample 16.960–18.002 ms; max GC 0.000 ms; n=6 | 1.372 ms; GC 0.000 ms; 24065 allocs / 3017928 bytes; sample 1.277–8.322 ms; max GC 6.689 ms; n=6 | 0.946 ms; GC 0.000 ms; 18205 allocs / 2150096 bytes; sample 0.915–1.008 ms; max GC 0.000 ms; n=5 | 0.016 ms; GC 0.000 ms; 264 allocs / 9504 bytes; sample 0.015–0.022 ms; max GC 0.000 ms; n=5 | 0.231 ms; GC 0.000 ms; 3192 allocs / 601240 bytes; sample 0.222–0.239 ms; max GC 0.000 ms; n=5
16:6:4:0.5:1:4 | 37.904 ms; GC 0.000 ms; 282056 allocs / 12001808 bytes; sample 36.412–85.153 ms; max GC 0.000 ms; n=5 | 1.814 ms; GC 0.000 ms; 30622 allocs / 3972432 bytes; sample 1.758–12.464 ms; max GC 10.381 ms; n=5 | 12.979 ms; GC 0.000 ms; 121648 allocs / 4266368 bytes; sample 12.877–56.853 ms; max GC 43.771 ms; n=5 | 0.594 ms; GC 0.000 ms; 9412 allocs / 1544352 bytes; sample 0.571–0.606 ms; max GC 0.000 ms; n=5 | 35.956 ms; GC 0.000 ms; 282056 allocs / 12001808 bytes; sample 35.397–36.954 ms; max GC 0.000 ms; n=6 | 1.749 ms; GC 0.000 ms; 30622 allocs / 3972432 bytes; sample 1.731–1.784 ms; max GC 0.000 ms; n=6 | 0.911 ms; GC 0.000 ms; 18205 allocs / 2150096 bytes; sample 0.882–1.048 ms; max GC 0.000 ms; n=5 | 0.034 ms; GC 0.000 ms; 567 allocs / 20208 bytes; sample 0.032–0.041 ms; max GC 0.000 ms; n=5 | 0.573 ms; GC 0.000 ms; 9408 allocs / 1543776 bytes; sample 0.552–9.759 ms; max GC 8.848 ms; n=5
16:6:4:0.5:1:16 | 115.053 ms; GC 0.000 ms; 825803 allocs / 36712448 bytes; sample 114.373–152.816 ms; max GC 36.551 ms; n=5 | 4.174 ms; GC 0.000 ms; 59884 allocs / 9161624 bytes; sample 3.843–5.068 ms; max GC 0.000 ms; n=5 | 39.407 ms; GC 0.000 ms; 367936 allocs / 13372928 bytes; sample 39.315–39.493 ms; max GC 0.000 ms; n=5 | 2.466 ms; GC 0.000 ms; 37008 allocs / 6664448 bytes; sample 2.360–2.555 ms; max GC 0.000 ms; n=5 | 115.408 ms; GC 0.000 ms; 825803 allocs / 36712448 bytes; sample 114.348–147.590 ms; max GC 32.574 ms; n=6 | 4.009 ms; GC 0.000 ms; 59884 allocs / 9161624 bytes; sample 3.879–8.963 ms; max GC 4.896 ms; n=6 | 0.898 ms; GC 0.000 ms; 18205 allocs / 2150096 bytes; sample 0.891–0.924 ms; max GC 0.000 ms; n=5 | 0.133 ms; GC 0.000 ms; 1952 allocs / 69984 bytes; sample 0.125–0.385 ms; max GC 0.000 ms; n=5 | 2.422 ms; GC 0.000 ms; 36992 allocs / 6662144 bytes; sample 2.317–6.850 ms; max GC 4.295 ms; n=5
16:6:4:0.5:1:64 | 1050.735 ms; GC 33.314 ms; 6282400 allocs / 244438864 bytes; sample 1041.034–1064.656 ms; max GC 40.003 ms; n=5 | 24.449 ms; GC 4.896 ms; 238375 allocs / 41729776 bytes; sample 17.117–28.393 ms; max GC 9.343 ms; n=5 | 434.557 ms; GC 17.252 ms; 3628944 allocs / 127127296 bytes; sample 419.503–453.249 ms; max GC 30.905 ms; n=5 | 19.852 ms; GC 5.170 ms; 208757 allocs / 38957136 bytes; sample 17.976–22.240 ms; max GC 7.537 ms; n=5 | 1086.401 ms; GC 68.776 ms; 6282400 allocs / 244438864 bytes; sample 1041.739–1312.399 ms; max GC 294.554 ms; n=6 | 24.481 ms; GC 7.047 ms; 238375 allocs / 41729776 bytes; sample 20.374–24.605 ms; max GC 7.325 ms; n=6 | 0.872 ms; GC 0.000 ms; 18205 allocs / 2150096 bytes; sample 0.861–0.895 ms; max GC 0.000 ms; n=5 | 0.546 ms; GC 0.000 ms; 7304 allocs / 263616 bytes; sample 0.527–0.586 ms; max GC 0.000 ms; n=5 | 18.114 ms; GC 3.360 ms; 208693 allocs / 38947920 bytes; sample 17.405–21.923 ms; max GC 7.328 ms; n=5
16:6:2:0.5:1:16 | 27.595 ms; GC 0.000 ms; 267973 allocs / 12040944 bytes; sample 27.381–30.038 ms; max GC 0.000 ms; n=5 | 3.229 ms; GC 0.000 ms; 46088 allocs / 7745480 bytes; sample 3.102–7.255 ms; max GC 3.651 ms; n=5 | 12.487 ms; GC 0.000 ms; 120320 allocs / 4861696 bytes; sample 12.379–12.635 ms; max GC 0.000 ms; n=5 | 1.935 ms; GC 0.000 ms; 24432 allocs / 5290368 bytes; sample 1.838–6.001 ms; max GC 3.834 ms; n=5 | 27.784 ms; GC 0.000 ms; 267973 allocs / 12040944 bytes; sample 27.260–28.836 ms; max GC 0.000 ms; n=6 | 3.237 ms; GC 0.000 ms; 46088 allocs / 7745480 bytes; sample 3.212–7.494 ms; max GC 3.960 ms; n=6 | 0.890 ms; GC 0.000 ms; 18205 allocs / 2150096 bytes; sample 0.876–0.930 ms; max GC 0.000 ms; n=5 | 0.055 ms; GC 0.000 ms; 874 allocs / 31392 bytes; sample 0.052–0.061 ms; max GC 0.000 ms; n=5 | 1.883 ms; GC 0.000 ms; 24416 allocs / 5288064 bytes; sample 1.854–1.894 ms; max GC 0.000 ms; n=5
16:6:4:0.5:1:16 | 136.706 ms; GC 0.000 ms; 825803 allocs / 36712448 bytes; sample 121.199–191.876 ms; max GC 53.852 ms; n=5 | 3.990 ms; GC 0.000 ms; 59886 allocs / 9178048 bytes; sample 3.867–8.400 ms; max GC 4.126 ms; n=5 | 42.984 ms; GC 0.000 ms; 367936 allocs / 13372928 bytes; sample 42.807–43.596 ms; max GC 0.000 ms; n=5 | 2.502 ms; GC 0.000 ms; 37008 allocs / 6664448 bytes; sample 2.359–7.060 ms; max GC 4.239 ms; n=5 | 127.742 ms; GC 0.000 ms; 825803 allocs / 36712448 bytes; sample 122.333–183.764 ms; max GC 54.640 ms; n=6 | 4.009 ms; GC 0.000 ms; 59884 allocs / 9161624 bytes; sample 3.829–8.556 ms; max GC 4.391 ms; n=6 | 0.937 ms; GC 0.000 ms; 18205 allocs / 2150096 bytes; sample 0.907–1.001 ms; max GC 0.000 ms; n=5 | 0.122 ms; GC 0.000 ms; 1952 allocs / 69984 bytes; sample 0.114–0.158 ms; max GC 0.000 ms; n=5 | 2.173 ms; GC 0.000 ms; 36992 allocs / 6662144 bytes; sample 2.142–2.436 ms; max GC 0.000 ms; n=5
16:6:6:0.5:1:16 | 4771.882 ms; GC 42.862 ms; 7109713 allocs / 274548128 bytes; sample 1417.966–17211.839 ms; max GC 219.593 ms; n=5 | 7.731 ms; GC 0.000 ms; 117671 allocs / 17393760 bytes; sample 7.587–16.079 ms; max GC 8.210 ms; n=5 | 580.164 ms; GC 22.725 ms; 4347456 allocs / 154702848 bytes; sample 569.428–602.776 ms; max GC 33.972 ms; n=5 | 5.695 ms; GC 0.000 ms; 90672 allocs / 14712576 bytes; sample 5.500–18.090 ms; max GC 10.040 ms; n=5 | 1339.940 ms; GC 36.254 ms; 7109713 allocs / 274548128 bytes; sample 1311.342–1352.161 ms; max GC 37.180 ms; n=6 | 7.853 ms; GC 0.000 ms; 117671 allocs / 17393760 bytes; sample 7.590–15.093 ms; max GC 6.899 ms; n=6 | 0.878 ms; GC 0.000 ms; 18205 allocs / 2150096 bytes; sample 0.877–0.891 ms; max GC 0.000 ms; n=5 | 0.388 ms; GC 0.000 ms; 4864 allocs / 177040 bytes; sample 0.381–0.435 ms; max GC 0.000 ms; n=5 | 5.645 ms; GC 0.000 ms; 90656 allocs / 14710272 bytes; sample 5.484–10.864 ms; max GC 5.262 ms; n=5
4:6:4:0.5:1:16 | 38.992 ms; GC 0.000 ms; 245720 allocs / 10392944 bytes; sample 38.355–40.817 ms; max GC 0.000 ms; n=5 | 1.523 ms; GC 0.000 ms; 20066 allocs / 2936872 bytes; sample 1.468–1.579 ms; max GC 0.000 ms; n=5 | 13.819 ms; GC 0.000 ms; 112364 allocs / 4058240 bytes; sample 13.629–14.168 ms; max GC 0.000 ms; n=5 | 0.841 ms; GC 0.000 ms; 10808 allocs / 2050496 bytes; sample 0.818–0.999 ms; max GC 0.000 ms; n=5 | 38.933 ms; GC 0.000 ms; 245720 allocs / 10392944 bytes; sample 38.136–39.765 ms; max GC 0.000 ms; n=6 | 1.515 ms; GC 0.000 ms; 20066 allocs / 2936872 bytes; sample 1.446–3.462 ms; max GC 0.000 ms; n=6 | 0.359 ms; GC 0.000 ms; 4572 allocs / 538336 bytes; sample 0.338–0.471 ms; max GC 0.000 ms; n=5 | 0.219 ms; GC 0.000 ms; 1970 allocs / 70864 bytes; sample 0.215–0.270 ms; max GC 0.000 ms; n=5 | 0.695 ms; GC 0.000 ms; 10792 allocs / 2048192 bytes; sample 0.668–0.715 ms; max GC 0.000 ms; n=5
16:6:4:0.5:1:16 | 126.529 ms; GC 0.000 ms; 825803 allocs / 36712448 bytes; sample 125.840–159.149 ms; max GC 32.051 ms; n=5 | 4.473 ms; GC 0.000 ms; 59884 allocs / 9161624 bytes; sample 3.977–10.247 ms; max GC 6.116 ms; n=5 | 42.831 ms; GC 0.000 ms; 367936 allocs / 13372928 bytes; sample 42.663–43.136 ms; max GC 0.000 ms; n=5 | 2.390 ms; GC 0.000 ms; 37008 allocs / 6664448 bytes; sample 2.325–7.788 ms; max GC 5.169 ms; n=5 | 126.949 ms; GC 0.000 ms; 825803 allocs / 36712448 bytes; sample 125.754–157.070 ms; max GC 28.872 ms; n=6 | 3.841 ms; GC 0.000 ms; 59884 allocs / 9161624 bytes; sample 3.752–8.961 ms; max GC 4.988 ms; n=6 | 0.886 ms; GC 0.000 ms; 18205 allocs / 2150096 bytes; sample 0.869–0.916 ms; max GC 0.000 ms; n=5 | 0.130 ms; GC 0.000 ms; 1952 allocs / 69984 bytes; sample 0.122–0.143 ms; max GC 0.000 ms; n=5 | 2.412 ms; GC 0.000 ms; 36992 allocs / 6662144 bytes; sample 2.338–8.505 ms; max GC 5.561 ms; n=5
32:6:4:0.5:1:16 | 487.810 ms; GC 0.000 ms; 2661151 allocs / 106111488 bytes; sample 485.518–527.838 ms; max GC 39.058 ms; n=5 | 8.960 ms; GC 0.000 ms; 135093 allocs / 20540088 bytes; sample 8.525–13.628 ms; max GC 5.218 ms; n=5 | 173.725 ms; GC 0.000 ms; 1340960 allocs / 44940032 bytes; sample 166.436–204.466 ms; max GC 35.744 ms; n=5 | 6.285 ms; GC 0.000 ms; 93776 allocs / 15883904 bytes; sample 5.512–10.376 ms; max GC 4.501 ms; n=5 | 524.012 ms; GC 32.569 ms; 2661151 allocs / 106111488 bytes; sample 490.876–782.423 ms; max GC 290.655 ms; n=6 | 8.525 ms; GC 0.000 ms; 135093 allocs / 20540088 bytes; sample 8.346–13.901 ms; max GC 5.102 ms; n=6 | 1.696 ms; GC 0.000 ms; 36381 allocs / 4298704 bytes; sample 1.624–7.006 ms; max GC 4.985 ms; n=5 | 0.160 ms; GC 0.000 ms; 2195 allocs / 79568 bytes; sample 0.156–0.182 ms; max GC 0.000 ms; n=5 | 6.432 ms; GC 0.000 ms; 93760 allocs / 15881600 bytes; sample 5.887–11.438 ms; max GC 5.103 ms; n=5
