seed=0xDADA_2024
gate=PASS shapes=6 rule-instance-masks=352
case | baseline first use | routed first use | baseline steady | routed steady | baseline churn | routed churn | adapter | formula conversion | extension/mask
16:6:4:0.5:1:1 | 12.316 ms; GC 0.000 ms; 136718 allocs / 6158464 bytes; sample 12.130–12.771 ms; max GC 0.000 ms; n=5 | 1.344 ms; GC 0.000 ms; 24067 allocs / 3017992 bytes; sample 1.283–1.556 ms; max GC 0.000 ms; n=5 | 4.443 ms; GC 0.000 ms; 46508 allocs / 1654688 bytes; sample 4.357–4.530 ms; max GC 0.000 ms; n=5 | 0.218 ms; GC 0.000 ms; 3193 allocs / 601384 bytes; sample 0.205–0.302 ms; max GC 0.000 ms; n=5 | 12.229 ms; GC 0.000 ms; 136718 allocs / 6158464 bytes; sample 12.056–12.849 ms; max GC 0.000 ms; n=6 | 1.306 ms; GC 0.000 ms; 24067 allocs / 3017992 bytes; sample 1.257–1.481 ms; max GC 0.000 ms; n=6 | 0.814 ms; GC 0.000 ms; 18205 allocs / 2150096 bytes; sample 0.810–0.963 ms; max GC 0.000 ms; n=5 | 0.015 ms; GC 0.000 ms; 264 allocs / 9504 bytes; sample 0.013–0.087 ms; max GC 0.000 ms; n=5 | 0.200 ms; GC 0.000 ms; 3192 allocs / 601240 bytes; sample 0.193–0.252 ms; max GC 0.000 ms; n=5
16:6:4:0.5:1:4 | 25.886 ms; GC 0.000 ms; 282056 allocs / 12001808 bytes; sample 25.424–26.924 ms; max GC 0.000 ms; n=5 | 1.763 ms; GC 0.000 ms; 30623 allocs / 3972976 bytes; sample 1.731–1.959 ms; max GC 0.000 ms; n=5 | 9.685 ms; GC 0.000 ms; 121648 allocs / 4266368 bytes; sample 9.546–9.752 ms; max GC 0.000 ms; n=5 | 0.548 ms; GC 0.000 ms; 9412 allocs / 1544352 bytes; sample 0.544–0.597 ms; max GC 0.000 ms; n=5 | 26.395 ms; GC 0.000 ms; 282056 allocs / 12001808 bytes; sample 26.196–52.477 ms; max GC 26.029 ms; n=6 | 1.686 ms; GC 0.000 ms; 30622 allocs / 3972432 bytes; sample 1.665–1.737 ms; max GC 0.000 ms; n=6 | 0.799 ms; GC 0.000 ms; 18205 allocs / 2150096 bytes; sample 0.744–13.224 ms; max GC 12.071 ms; n=5 | 0.028 ms; GC 0.000 ms; 567 allocs / 20208 bytes; sample 0.026–0.033 ms; max GC 0.000 ms; n=5 | 0.529 ms; GC 0.000 ms; 9408 allocs / 1543776 bytes; sample 0.523–0.538 ms; max GC 0.000 ms; n=5
16:6:4:0.5:1:16 | 102.940 ms; GC 0.000 ms; 825675 allocs / 36707584 bytes; sample 102.800–131.122 ms; max GC 27.921 ms; n=5 | 3.953 ms; GC 0.000 ms; 59882 allocs / 9162616 bytes; sample 3.864–15.206 ms; max GC 11.194 ms; n=5 | 36.063 ms; GC 0.000 ms; 367936 allocs / 13372928 bytes; sample 35.512–36.266 ms; max GC 0.000 ms; n=5 | 2.443 ms; GC 0.000 ms; 37008 allocs / 6664448 bytes; sample 2.369–2.482 ms; max GC 0.000 ms; n=5 | 102.437 ms; GC 0.000 ms; 825675 allocs / 36707584 bytes; sample 101.861–125.876 ms; max GC 22.248 ms; n=6 | 3.822 ms; GC 0.000 ms; 59881 allocs / 9161528 bytes; sample 3.658–9.109 ms; max GC 4.483 ms; n=6 | 0.849 ms; GC 0.000 ms; 18205 allocs / 2150096 bytes; sample 0.830–0.912 ms; max GC 0.000 ms; n=5 | 0.122 ms; GC 0.000 ms; 1951 allocs / 69952 bytes; sample 0.118–0.138 ms; max GC 0.000 ms; n=5 | 2.361 ms; GC 0.000 ms; 36992 allocs / 6662144 bytes; sample 2.324–6.105 ms; max GC 3.361 ms; n=5
16:6:4:0.5:1:64 | 1055.781 ms; GC 47.389 ms; 6281888 allocs / 244419408 bytes; sample 1033.278–1073.157 ms; max GC 47.389 ms; n=5 | 23.608 ms; GC 6.771 ms; 238333 allocs / 41728784 bytes; sample 19.657–28.803 ms; max GC 11.606 ms; n=5 | 400.172 ms; GC 17.660 ms; 3628944 allocs / 127127296 bytes; sample 396.964–410.764 ms; max GC 27.348 ms; n=5 | 19.789 ms; GC 5.728 ms; 208757 allocs / 38957136 bytes; sample 16.497–20.063 ms; max GC 5.965 ms; n=5 | 1073.263 ms; GC 51.628 ms; 6281888 allocs / 244419408 bytes; sample 1042.051–11672.398 ms; max GC 160.850 ms; n=6 | 22.781 ms; GC 6.097 ms; 238335 allocs / 41730872 bytes; sample 19.583–23.570 ms; max GC 6.530 ms; n=6 | 0.856 ms; GC 0.000 ms; 18205 allocs / 2150096 bytes; sample 0.811–4.132 ms; max GC 3.091 ms; n=5 | 0.500 ms; GC 0.000 ms; 7303 allocs / 263584 bytes; sample 0.494–0.527 ms; max GC 0.000 ms; n=5 | 20.241 ms; GC 6.006 ms; 208693 allocs / 38947920 bytes; sample 16.873–20.513 ms; max GC 6.197 ms; n=5
16:6:2:0.5:1:16 | 25.021 ms; GC 0.000 ms; 267973 allocs / 12040944 bytes; sample 24.757–59.782 ms; max GC 34.852 ms; n=5 | 3.226 ms; GC 0.000 ms; 46090 allocs / 7745544 bytes; sample 3.023–9.350 ms; max GC 5.942 ms; n=5 | 11.029 ms; GC 0.000 ms; 120320 allocs / 4861696 bytes; sample 10.978–11.243 ms; max GC 0.000 ms; n=5 | 1.877 ms; GC 0.000 ms; 24432 allocs / 5290368 bytes; sample 1.723–8.938 ms; max GC 6.372 ms; n=5 | 25.103 ms; GC 0.000 ms; 267973 allocs / 12040944 bytes; sample 24.841–25.496 ms; max GC 0.000 ms; n=6 | 3.129 ms; GC 0.000 ms; 46090 allocs / 7745544 bytes; sample 3.013–8.063 ms; max GC 4.201 ms; n=6 | 0.854 ms; GC 0.000 ms; 18205 allocs / 2150096 bytes; sample 0.830–0.864 ms; max GC 0.000 ms; n=5 | 0.055 ms; GC 0.000 ms; 874 allocs / 31392 bytes; sample 0.054–0.063 ms; max GC 0.000 ms; n=5 | 1.789 ms; GC 0.000 ms; 24416 allocs / 5288064 bytes; sample 1.774–5.823 ms; max GC 3.833 ms; n=5
16:6:4:0.5:1:16 | 112.801 ms; GC 0.000 ms; 825675 allocs / 36707584 bytes; sample 111.027–143.289 ms; max GC 26.992 ms; n=5 | 4.037 ms; GC 0.000 ms; 59881 allocs / 9161528 bytes; sample 3.643–7.727 ms; max GC 3.530 ms; n=5 | 37.824 ms; GC 0.000 ms; 367936 allocs / 13372928 bytes; sample 37.497–37.975 ms; max GC 0.000 ms; n=5 | 2.483 ms; GC 0.000 ms; 37008 allocs / 6664448 bytes; sample 2.296–5.897 ms; max GC 3.376 ms; n=5 | 116.417 ms; GC 0.000 ms; 825675 allocs / 36707584 bytes; sample 115.411–140.197 ms; max GC 25.063 ms; n=6 | 3.865 ms; GC 0.000 ms; 59881 allocs / 9161528 bytes; sample 3.725–7.986 ms; max GC 3.664 ms; n=6 | 0.825 ms; GC 0.000 ms; 18205 allocs / 2150096 bytes; sample 0.803–0.862 ms; max GC 0.000 ms; n=5 | 0.126 ms; GC 0.000 ms; 1951 allocs / 69952 bytes; sample 0.120–0.138 ms; max GC 0.000 ms; n=5 | 2.357 ms; GC 0.000 ms; 36992 allocs / 6662144 bytes; sample 2.331–6.341 ms; max GC 3.800 ms; n=5
16:6:6:0.5:1:16 | 1296.278 ms; GC 46.155 ms; 7109713 allocs / 274548128 bytes; sample 1269.677–1302.754 ms; max GC 48.582 ms; n=5 | 10.048 ms; GC 0.000 ms; 117615 allocs / 17392416 bytes; sample 7.832–17.995 ms; max GC 9.203 ms; n=5 | 564.020 ms; GC 13.460 ms; 4347456 allocs / 154702848 bytes; sample 555.767–583.162 ms; max GC 38.581 ms; n=5 | 5.740 ms; GC 0.000 ms; 90672 allocs / 14712576 bytes; sample 5.310–11.600 ms; max GC 4.757 ms; n=5 | 1328.700 ms; GC 26.067 ms; 7109713 allocs / 274548128 bytes; sample 1310.218–1427.075 ms; max GC 68.902 ms; n=6 | 7.740 ms; GC 0.000 ms; 117615 allocs / 17392416 bytes; sample 7.576–11.967 ms; max GC 4.204 ms; n=6 | 0.862 ms; GC 0.000 ms; 18205 allocs / 2150096 bytes; sample 0.810–4.983 ms; max GC 3.846 ms; n=5 | 0.350 ms; GC 0.000 ms; 4864 allocs / 177040 bytes; sample 0.339–0.376 ms; max GC 0.000 ms; n=5 | 8.942 ms; GC 3.225 ms; 90656 allocs / 14710272 bytes; sample 5.289–9.681 ms; max GC 3.943 ms; n=5
4:6:4:0.5:1:16 | 39.143 ms; GC 0.000 ms; 245656 allocs / 10390512 bytes; sample 38.806–61.860 ms; max GC 22.203 ms; n=5 | 1.617 ms; GC 0.000 ms; 20068 allocs / 2936936 bytes; sample 1.522–1.722 ms; max GC 0.000 ms; n=5 | 14.132 ms; GC 0.000 ms; 112364 allocs / 4058240 bytes; sample 13.939–14.276 ms; max GC 0.000 ms; n=5 | 0.874 ms; GC 0.000 ms; 10808 allocs / 2050496 bytes; sample 0.774–7.076 ms; max GC 6.030 ms; n=5 | 39.678 ms; GC 0.000 ms; 245656 allocs / 10390512 bytes; sample 39.007–45.517 ms; max GC 0.000 ms; n=6 | 1.524 ms; GC 0.000 ms; 20068 allocs / 2936936 bytes; sample 1.488–1.559 ms; max GC 0.000 ms; n=6 | 0.223 ms; GC 0.000 ms; 4572 allocs / 538336 bytes; sample 0.219–0.227 ms; max GC 0.000 ms; n=5 | 0.139 ms; GC 0.000 ms; 1971 allocs / 70896 bytes; sample 0.128–0.170 ms; max GC 0.000 ms; n=5 | 0.753 ms; GC 0.000 ms; 10792 allocs / 2048192 bytes; sample 0.749–0.785 ms; max GC 0.000 ms; n=5
16:6:4:0.5:1:16 | 130.504 ms; GC 0.000 ms; 825675 allocs / 36707584 bytes; sample 127.380–159.657 ms; max GC 29.273 ms; n=5 | 3.853 ms; GC 0.000 ms; 59881 allocs / 9161528 bytes; sample 3.675–12.145 ms; max GC 7.833 ms; n=5 | 42.627 ms; GC 0.000 ms; 367936 allocs / 13372928 bytes; sample 42.355–42.958 ms; max GC 0.000 ms; n=5 | 2.456 ms; GC 0.000 ms; 37008 allocs / 6664448 bytes; sample 2.345–8.405 ms; max GC 5.331 ms; n=5 | 129.930 ms; GC 0.000 ms; 825675 allocs / 36707584 bytes; sample 126.517–156.242 ms; max GC 27.003 ms; n=6 | 3.964 ms; GC 0.000 ms; 59881 allocs / 9161528 bytes; sample 3.849–9.016 ms; max GC 4.831 ms; n=6 | 0.849 ms; GC 0.000 ms; 18205 allocs / 2150096 bytes; sample 0.840–0.876 ms; max GC 0.000 ms; n=5 | 0.128 ms; GC 0.000 ms; 1951 allocs / 69952 bytes; sample 0.121–0.144 ms; max GC 0.000 ms; n=5 | 2.399 ms; GC 0.000 ms; 36992 allocs / 6662144 bytes; sample 2.372–7.263 ms; max GC 4.624 ms; n=5
32:6:4:0.5:1:16 | 500.810 ms; GC 28.261 ms; 2660639 allocs / 106092032 bytes; sample 474.404–508.191 ms; max GC 29.974 ms; n=5 | 8.570 ms; GC 0.000 ms; 135093 allocs / 20540088 bytes; sample 8.128–16.608 ms; max GC 7.582 ms; n=5 | 382.249 ms; GC 0.000 ms; 1340960 allocs / 44940032 bytes; sample 266.585–2495.100 ms; max GC 1328.375 ms; n=5 | 5.924 ms; GC 0.000 ms; 93776 allocs / 15883904 bytes; sample 5.799–14.198 ms; max GC 7.719 ms; n=5 | 5713.930 ms; GC 0.000 ms; 2660639 allocs / 106092032 bytes; sample 453.487–6345.730 ms; max GC 228.629 ms; n=6 | 9.171 ms; GC 0.000 ms; 135093 allocs / 20540088 bytes; sample 8.184–15.321 ms; max GC 5.866 ms; n=6 | 1.750 ms; GC 0.000 ms; 36381 allocs / 4298704 bytes; sample 1.740–1.751 ms; max GC 0.000 ms; n=5 | 0.142 ms; GC 0.000 ms; 2195 allocs / 79568 bytes; sample 0.129–0.162 ms; max GC 0.000 ms; n=5 | 6.001 ms; GC 0.000 ms; 93760 allocs / 15881600 bytes; sample 5.692–9.887 ms; max GC 4.088 ms; n=5
16:3:4:0.5:1:16 | 202.220 ms; GC 0.000 ms; 1155433 allocs / 41196640 bytes; sample 187.469–246.386 ms; max GC 50.755 ms; n=5 | 2.982 ms; GC 0.000 ms; 49554 allocs / 7301768 bytes; sample 2.673–3.269 ms; max GC 0.000 ms; n=5 | 67.434 ms; GC 0.000 ms; 631088 allocs / 21388544 bytes; sample 67.161–68.934 ms; max GC 0.000 ms; n=5 | 2.315 ms; GC 0.000 ms; 42864 allocs / 6884352 bytes; sample 2.061–2.884 ms; max GC 0.000 ms; n=5 | 196.594 ms; GC 0.000 ms; 1155433 allocs / 41196640 bytes; sample 194.233–242.932 ms; max GC 47.590 ms; n=6 | 2.598 ms; GC 0.000 ms; 49554 allocs / 7301768 bytes; sample 2.257–16.422 ms; max GC 12.969 ms; n=6 | 0.189 ms; GC 0.000 ms; 3933 allocs / 301904 bytes; sample 0.187–0.195 ms; max GC 0.000 ms; n=5 | 0.148 ms; GC 0.000 ms; 2079 allocs / 74656 bytes; sample 0.141–0.158 ms; max GC 0.000 ms; n=5 | 1.919 ms; GC 0.000 ms; 42848 allocs / 6882048 bytes; sample 1.777–1.931 ms; max GC 0.000 ms; n=5
