seed=0xDADA_2024
gate=PASS shapes=6 rule-instance-masks=352
case | baseline first use | routed first use | baseline steady | routed steady | baseline churn | routed churn | adapter | formula conversion | extension/mask
16:6:4:0.5:1:1 | 146.895 ms; GC 0.000 ms; 136718 allocs / 6158464 bytes; sample 141.660–296.726 ms; max GC 142.077 ms; n=5 | 1.558 ms; GC 0.000 ms; 24067 allocs / 3017992 bytes; sample 1.439–1.664 ms; max GC 0.000 ms; n=5 | 56.158 ms; GC 0.000 ms; 46508 allocs / 1654688 bytes; sample 52.383–77.050 ms; max GC 0.000 ms; n=5 | 0.326 ms; GC 0.000 ms; 3193 allocs / 601384 bytes; sample 0.231–0.340 ms; max GC 0.000 ms; n=5 | 153.882 ms; GC 0.000 ms; 136718 allocs / 6158464 bytes; sample 148.565–160.672 ms; max GC 0.000 ms; n=6 | 1.655 ms; GC 0.000 ms; 24067 allocs / 3017992 bytes; sample 1.407–29.984 ms; max GC 27.998 ms; n=6 | 0.859 ms; GC 0.000 ms; 18205 allocs / 2150096 bytes; sample 0.839–1.031 ms; max GC 0.000 ms; n=5 | 0.015 ms; GC 0.000 ms; 264 allocs / 9504 bytes; sample 0.014–0.093 ms; max GC 0.000 ms; n=5 | 0.230 ms; GC 0.000 ms; 3192 allocs / 601240 bytes; sample 0.215–0.298 ms; max GC 0.000 ms; n=5
16:6:4:0.5:1:4 | 25.362 ms; GC 0.000 ms; 282056 allocs / 12001808 bytes; sample 24.989–55.783 ms; max GC 30.391 ms; n=5 | 1.793 ms; GC 0.000 ms; 30622 allocs / 3972432 bytes; sample 1.759–1.956 ms; max GC 0.000 ms; n=5 | 9.379 ms; GC 0.000 ms; 121648 allocs / 4266368 bytes; sample 9.154–9.654 ms; max GC 0.000 ms; n=5 | 0.588 ms; GC 0.000 ms; 9412 allocs / 1544352 bytes; sample 0.571–24.251 ms; max GC 23.308 ms; n=5 | 25.015 ms; GC 0.000 ms; 282056 allocs / 12001808 bytes; sample 24.739–25.818 ms; max GC 0.000 ms; n=6 | 1.861 ms; GC 0.000 ms; 30622 allocs / 3972432 bytes; sample 1.754–1.955 ms; max GC 0.000 ms; n=6 | 0.894 ms; GC 0.000 ms; 18205 allocs / 2150096 bytes; sample 0.869–0.901 ms; max GC 0.000 ms; n=5 | 0.033 ms; GC 0.000 ms; 567 allocs / 20208 bytes; sample 0.031–0.043 ms; max GC 0.000 ms; n=5 | 0.563 ms; GC 0.000 ms; 9408 allocs / 1543776 bytes; sample 0.554–0.599 ms; max GC 0.000 ms; n=5
16:6:4:0.5:1:16 | 97.129 ms; GC 0.000 ms; 825675 allocs / 36707584 bytes; sample 93.931–130.667 ms; max GC 35.168 ms; n=5 | 4.537 ms; GC 0.000 ms; 59881 allocs / 9161528 bytes; sample 4.468–4.816 ms; max GC 0.000 ms; n=5 | 34.999 ms; GC 0.000 ms; 367936 allocs / 13372928 bytes; sample 34.541–35.427 ms; max GC 0.000 ms; n=5 | 2.976 ms; GC 0.000 ms; 37008 allocs / 6664448 bytes; sample 2.692–18.321 ms; max GC 15.198 ms; n=5 | 100.779 ms; GC 0.000 ms; 825675 allocs / 36707584 bytes; sample 96.070–135.409 ms; max GC 34.209 ms; n=6 | 4.688 ms; GC 0.000 ms; 59881 allocs / 9161528 bytes; sample 4.387–18.667 ms; max GC 12.775 ms; n=6 | 0.878 ms; GC 0.000 ms; 18205 allocs / 2150096 bytes; sample 0.855–0.892 ms; max GC 0.000 ms; n=5 | 0.125 ms; GC 0.000 ms; 1951 allocs / 69952 bytes; sample 0.121–0.168 ms; max GC 0.000 ms; n=5 | 2.530 ms; GC 0.000 ms; 36992 allocs / 6662144 bytes; sample 2.431–8.853 ms; max GC 5.876 ms; n=5
16:6:4:0.5:1:64 | 1027.183 ms; GC 36.276 ms; 6281888 allocs / 244419408 bytes; sample 984.926–1041.683 ms; max GC 53.691 ms; n=5 | 28.896 ms; GC 8.579 ms; 238333 allocs / 41728784 bytes; sample 17.808–32.242 ms; max GC 13.594 ms; n=5 | 423.614 ms; GC 15.397 ms; 3628944 allocs / 127127296 bytes; sample 421.413–440.597 ms; max GC 26.211 ms; n=5 | 22.724 ms; GC 6.527 ms; 208757 allocs / 38957136 bytes; sample 19.158–23.660 ms; max GC 7.101 ms; n=5 | 1073.252 ms; GC 63.889 ms; 6281888 allocs / 244419408 bytes; sample 1021.387–11180.740 ms; max GC 1744.024 ms; n=6 | 23.747 ms; GC 4.554 ms; 238333 allocs / 41728784 bytes; sample 22.856–27.537 ms; max GC 7.858 ms; n=6 | 0.936 ms; GC 0.000 ms; 18205 allocs / 2150096 bytes; sample 0.934–0.994 ms; max GC 0.000 ms; n=5 | 0.590 ms; GC 0.000 ms; 7303 allocs / 263584 bytes; sample 0.581–0.639 ms; max GC 0.000 ms; n=5 | 19.481 ms; GC 3.495 ms; 208693 allocs / 38947920 bytes; sample 18.389–23.284 ms; max GC 7.158 ms; n=5
16:6:2:0.5:1:16 | 287.004 ms; GC 0.000 ms; 267973 allocs / 12040944 bytes; sample 276.796–381.467 ms; max GC 0.000 ms; n=5 | 3.369 ms; GC 0.000 ms; 46090 allocs / 7745544 bytes; sample 3.295–10.221 ms; max GC 6.544 ms; n=5 | 218.118 ms; GC 0.000 ms; 120320 allocs / 4861696 bytes; sample 177.419–221.095 ms; max GC 0.000 ms; n=5 | 2.000 ms; GC 0.000 ms; 24432 allocs / 5290368 bytes; sample 1.970–10.998 ms; max GC 7.703 ms; n=5 | 511.123 ms; GC 0.000 ms; 267973 allocs / 12040944 bytes; sample 474.087–533.836 ms; max GC 0.000 ms; n=6 | 3.356 ms; GC 0.000 ms; 46090 allocs / 7745544 bytes; sample 3.229–3.516 ms; max GC 0.000 ms; n=6 | 0.862 ms; GC 0.000 ms; 18205 allocs / 2150096 bytes; sample 0.861–6.853 ms; max GC 5.640 ms; n=5 | 0.051 ms; GC 0.000 ms; 874 allocs / 31392 bytes; sample 0.049–0.061 ms; max GC 0.000 ms; n=5 | 1.934 ms; GC 0.000 ms; 24416 allocs / 5288064 bytes; sample 1.912–1.961 ms; max GC 0.000 ms; n=5
16:6:4:0.5:1:16 | 259.195 ms; GC 0.000 ms; 825675 allocs / 36707584 bytes; sample 108.400–1443.735 ms; max GC 72.926 ms; n=5 | 4.347 ms; GC 0.000 ms; 59881 allocs / 9161528 bytes; sample 4.027–8.970 ms; max GC 4.571 ms; n=5 | 37.178 ms; GC 0.000 ms; 367936 allocs / 13372928 bytes; sample 37.085–38.596 ms; max GC 0.000 ms; n=5 | 2.573 ms; GC 0.000 ms; 37008 allocs / 6664448 bytes; sample 2.447–7.139 ms; max GC 4.300 ms; n=5 | 109.134 ms; GC 0.000 ms; 825675 allocs / 36707584 bytes; sample 107.086–161.657 ms; max GC 49.189 ms; n=6 | 4.176 ms; GC 0.000 ms; 59883 allocs / 9165664 bytes; sample 4.149–9.332 ms; max GC 4.649 ms; n=6 | 0.880 ms; GC 0.000 ms; 18205 allocs / 2150096 bytes; sample 0.853–0.888 ms; max GC 0.000 ms; n=5 | 0.125 ms; GC 0.000 ms; 1951 allocs / 69952 bytes; sample 0.121–0.161 ms; max GC 0.000 ms; n=5 | 2.529 ms; GC 0.000 ms; 36992 allocs / 6662144 bytes; sample 2.425–7.329 ms; max GC 4.498 ms; n=5
16:6:6:0.5:1:16 | 1269.350 ms; GC 45.529 ms; 7109713 allocs / 274548128 bytes; sample 1253.417–1344.594 ms; max GC 59.052 ms; n=5 | 10.982 ms; GC 0.000 ms; 117615 allocs / 17392416 bytes; sample 8.236–23.483 ms; max GC 13.514 ms; n=5 | 560.101 ms; GC 24.338 ms; 4347456 allocs / 154702848 bytes; sample 532.958–565.149 ms; max GC 30.396 ms; n=5 | 6.024 ms; GC 0.000 ms; 90672 allocs / 14712576 bytes; sample 5.750–17.927 ms; max GC 10.766 ms; n=5 | 1301.638 ms; GC 36.354 ms; 7109713 allocs / 274548128 bytes; sample 1283.262–1590.519 ms; max GC 79.611 ms; n=6 | 8.703 ms; GC 0.000 ms; 117615 allocs / 17392416 bytes; sample 8.506–16.855 ms; max GC 7.319 ms; n=6 | 0.896 ms; GC 0.000 ms; 18205 allocs / 2150096 bytes; sample 0.883–0.944 ms; max GC 0.000 ms; n=5 | 0.406 ms; GC 0.000 ms; 4864 allocs / 177040 bytes; sample 0.398–0.448 ms; max GC 0.000 ms; n=5 | 6.960 ms; GC 0.000 ms; 90656 allocs / 14710272 bytes; sample 5.969–13.697 ms; max GC 7.086 ms; n=5
4:6:4:0.5:1:16 | 109.236 ms; GC 0.000 ms; 245656 allocs / 10390512 bytes; sample 101.529–110.871 ms; max GC 0.000 ms; n=5 | 1.725 ms; GC 0.000 ms; 20068 allocs / 2936936 bytes; sample 1.707–1.998 ms; max GC 0.000 ms; n=5 | 42.768 ms; GC 0.000 ms; 112364 allocs / 4058240 bytes; sample 42.227–101.523 ms; max GC 58.428 ms; n=5 | 0.829 ms; GC 0.000 ms; 10808 allocs / 2050496 bytes; sample 0.793–0.839 ms; max GC 0.000 ms; n=5 | 178.114 ms; GC 0.000 ms; 245656 allocs / 10390512 bytes; sample 118.033–417.371 ms; max GC 0.000 ms; n=6 | 1.688 ms; GC 0.000 ms; 20068 allocs / 2936936 bytes; sample 1.604–1.903 ms; max GC 0.000 ms; n=6 | 0.236 ms; GC 0.000 ms; 4572 allocs / 538336 bytes; sample 0.228–0.246 ms; max GC 0.000 ms; n=5 | 0.141 ms; GC 0.000 ms; 1971 allocs / 70896 bytes; sample 0.130–0.158 ms; max GC 0.000 ms; n=5 | 0.823 ms; GC 0.000 ms; 10792 allocs / 2048192 bytes; sample 0.818–0.835 ms; max GC 0.000 ms; n=5
16:6:4:0.5:1:16 | 1632.971 ms; GC 0.000 ms; 825675 allocs / 36707584 bytes; sample 1382.503–1985.802 ms; max GC 187.281 ms; n=5 | 4.302 ms; GC 0.000 ms; 59881 allocs / 9161528 bytes; sample 4.256–14.161 ms; max GC 9.485 ms; n=5 | 696.953 ms; GC 0.000 ms; 367936 allocs / 13372928 bytes; sample 416.083–748.991 ms; max GC 0.000 ms; n=5 | 2.736 ms; GC 0.000 ms; 37008 allocs / 6664448 bytes; sample 2.638–3.054 ms; max GC 0.000 ms; n=5 | 1535.344 ms; GC 0.000 ms; 825675 allocs / 36707584 bytes; sample 1301.473–1742.677 ms; max GC 252.028 ms; n=6 | 4.181 ms; GC 0.000 ms; 59881 allocs / 9161528 bytes; sample 4.045–12.886 ms; max GC 6.959 ms; n=6 | 0.912 ms; GC 0.000 ms; 18205 allocs / 2150096 bytes; sample 0.899–0.958 ms; max GC 0.000 ms; n=5 | 0.135 ms; GC 0.000 ms; 1951 allocs / 69952 bytes; sample 0.128–0.158 ms; max GC 0.000 ms; n=5 | 2.638 ms; GC 0.000 ms; 36992 allocs / 6662144 bytes; sample 2.514–9.295 ms; max GC 6.373 ms; n=5
32:6:4:0.5:1:16 | 398.298 ms; GC 0.000 ms; 2660639 allocs / 106092032 bytes; sample 392.896–456.885 ms; max GC 43.087 ms; n=5 | 9.027 ms; GC 0.000 ms; 135093 allocs / 20540088 bytes; sample 8.627–18.054 ms; max GC 8.369 ms; n=5 | 154.336 ms; GC 0.000 ms; 1340960 allocs / 44940032 bytes; sample 153.995–253.018 ms; max GC 97.172 ms; n=5 | 6.030 ms; GC 0.000 ms; 93776 allocs / 15883904 bytes; sample 5.883–14.070 ms; max GC 6.755 ms; n=5 | 417.732 ms; GC 0.000 ms; 2660639 allocs / 106092032 bytes; sample 401.511–476.637 ms; max GC 52.697 ms; n=6 | 8.891 ms; GC 0.000 ms; 135093 allocs / 20540088 bytes; sample 8.692–14.464 ms; max GC 5.224 ms; n=6 | 1.841 ms; GC 0.000 ms; 36381 allocs / 4298704 bytes; sample 1.790–6.838 ms; max GC 4.743 ms; n=5 | 0.155 ms; GC 0.000 ms; 2195 allocs / 79568 bytes; sample 0.146–0.176 ms; max GC 0.000 ms; n=5 | 6.470 ms; GC 0.000 ms; 93760 allocs / 15881600 bytes; sample 5.788–11.340 ms; max GC 4.845 ms; n=5
16:3:4:0.5:1:16 | 184.062 ms; GC 0.000 ms; 1155433 allocs / 41196640 bytes; sample 183.656–217.251 ms; max GC 31.748 ms; n=5 | 2.527 ms; GC 0.000 ms; 49554 allocs / 7301768 bytes; sample 2.457–2.822 ms; max GC 0.000 ms; n=5 | 67.594 ms; GC 0.000 ms; 631088 allocs / 21388544 bytes; sample 66.961–106.114 ms; max GC 38.952 ms; n=5 | 2.958 ms; GC 0.000 ms; 42864 allocs / 6884352 bytes; sample 1.920–3.158 ms; max GC 0.000 ms; n=5 | 185.514 ms; GC 0.000 ms; 1155433 allocs / 41196640 bytes; sample 184.407–219.017 ms; max GC 34.293 ms; n=6 | 3.547 ms; GC 0.000 ms; 49554 allocs / 7301768 bytes; sample 2.674–21.025 ms; max GC 17.705 ms; n=6 | 0.179 ms; GC 0.000 ms; 3933 allocs / 301904 bytes; sample 0.178–0.195 ms; max GC 0.000 ms; n=5 | 0.140 ms; GC 0.000 ms; 2079 allocs / 74656 bytes; sample 0.135–0.154 ms; max GC 0.000 ms; n=5 | 1.885 ms; GC 0.000 ms; 42848 allocs / 6882048 bytes; sample 1.850–1.928 ms; max GC 0.000 ms; n=5
